trade,category,date,people
Electricians,Females,1991,9
Electricians,Females,1992,18
Electricians,Females,1993,30
Electricians,Females,1994,39
Electricians,Females,1995,36
Electricians,Females,1996,33
Electricians,Females,1997,21
Electricians,Females,1998,33
Electricians,Females,1999,53
Electricians,Females,2000,53
Electricians,Females,2001,56
Electricians,Females,2002,44
Electricians,Females,2003,44
Electricians,Females,2004,62
Electricians,Females,2005,47
Electricians,Females,2006,83
Electricians,Females,2007,56
Electricians,Females,2008,92
Electricians,Females,2009,83
Electricians,Females,2010,112
Electricians,Females,2011,163
Electricians,Females,2012,159
Electricians,Females,2013,210
Electricians,Males,1991,2538
Electricians,Males,1992,2412
Electricians,Males,1993,2899
Electricians,Males,1994,2656
Electricians,Males,1995,2725
Electricians,Males,1996,2464
Electricians,Males,1997,2309
Electricians,Males,1998,2205
Electricians,Males,1999,2582
Electricians,Males,2000,2355
Electricians,Males,2001,2594
Electricians,Males,2002,2648
Electricians,Males,2003,2495
Electricians,Males,2004,3230
Electricians,Males,2005,3404
Electricians,Males,2006,3685
Electricians,Males,2007,4152
Electricians,Males,2008,4763
Electricians,Males,2009,5147
Electricians,Males,2010,5796
Electricians,Males,2011,6413
Electricians,Males,2012,6305
Electricians,Males,2013,7984
Automotive service,Females,1991,18
Automotive service,Females,1992,36
Automotive service,Females,1993,30
Automotive service,Females,1994,50
Automotive service,Females,1995,27
Automotive service,Females,1996,36
Automotive service,Females,1997,44
Automotive service,Females,1998,36
Automotive service,Females,1999,51
Automotive service,Females,2000,53
Automotive service,Females,2001,50
Automotive service,Females,2002,47
Automotive service,Females,2003,53
Automotive service,Females,2004,41
Automotive service,Females,2005,50
Automotive service,Females,2006,50
Automotive service,Females,2007,71
Automotive service,Females,2008,92
Automotive service,Females,2009,124
Automotive service,Females,2010,115
Automotive service,Females,2011,130
Automotive service,Females,2012,118
Automotive service,Females,2013,127
Automotive service,Males,1991,2451
Automotive service,Males,1992,3121
Automotive service,Males,1993,2825
Automotive service,Males,1994,2766
Automotive service,Males,1995,2671
Automotive service,Males,1996,2357
Automotive service,Males,1997,2507
Automotive service,Males,1998,2532
Automotive service,Males,1999,2868
Automotive service,Males,2000,3047
Automotive service,Males,2001,2917
Automotive service,Males,2002,2293
Automotive service,Males,2003,2666
Automotive service,Males,2004,2573
Automotive service,Males,2005,2649
Automotive service,Males,2006,2520
Automotive service,Males,2007,3297
Automotive service,Males,2008,3158
Automotive service,Males,2009,3078
Automotive service,Males,2010,3478
Automotive service,Males,2011,3971
Automotive service,Males,2012,3866
Automotive service,Males,2013,3281
